target_files,Pub Year,Categ,BT_easiness,Google WC,num_syl_tok_cw,num_let_tok_cw,num_phone_tok_cw,discrepancy_raw_tok_cw,discrepancy_ratio_tok_cw,avg_syl_length_tok_cw,num_cons_char_tok_cw,num_vowel_char_tok_cw,num_cons_phone_tok_cw,num_vowel_phone_tok_cw,avg_phone_per_char_cons_tok_cw,avg_phone_per_char_vowel_tok_cw,avg_phone_per_char_all_tok_cw,number_phone_vowel_tok_cw,number_phone_all_tok_cw,reverse_prior_prob_cons_tok_cw,max_prob_cons_tok_cw,min_prob_cons_tok_cw,mid_prob_cons_tok_cw,number_phone_cons_tok_cw,reverse_prior_prob_vowel_tok_cw,max_prob_vowel_tok_cw,min_prob_vowel_tok_cw,mid_prob_vowel_tok_cw,reverse_prior_prob_all_tok_cw,max_prob_all_tok_cw,mid_prob_all_tok_cw,min_prob_all_tok_cw,Conditional_Probability_Average_tok_cw,weight_max_prob_cons_tok_cw,weight_min_prob_cons_tok_cw,weight_mid_prob_cons_tok_cw,weight_max_prob_vowel_tok_cw,weight_min_prob_vowel_tok_cw,weight_mid_prob_vowel_tok_cw,weight_max_prob_all_tok_cw,weight_mid_prob_all_tok_cw,weight_min_prob_all_tok_cw,Ortho_N_tok_cw,Phono_N_tok_cw,Phono_N_H_tok_cw,OG_N_tok_cw,OG_N_H_tok_cw,Freq_N_tok_cw,Freq_N_P_tok_cw,Freq_N_PH_tok_cw,Freq_N_OG_tok_cw,Freq_N_OGH_tok_cw,OLD_tok_cw,OLDF_tok_cw,PLD_tok_cw,PLDF_tok_cw,subtlexus_log_freq_tok_cw,subtlexus_log_cd_tok_cw,coca_maga_cd_tok_cw,coca_mag_log_freq_tok_cw,num_rhymes_full_elp_tok_cw,num_rhymes_1000_coca_tok_cw,num_rhymes_2500_coca_tok_cw,num_rhymes_5000_coca_tok_cw,num_rhymes_10000_coca_tok_cw
400,1914,Lit,-0.340259125,174,1.64556962,5.835443038,4.759493671,-1.075949367,0.81667169,3.848101266,3.658227848,2.17721519,3.113924051,1.64556962,1.190295359,1.392405063,1.251311031,6.976793249,4.3625,0.038050997,0.957459177,0.564410127,0.760520095,1.748206751,0.040618376,0.544563291,0.033960865,0.289262078,0.039334686,0.751011234,0.524891086,0.299185496,0.710610307,0.547680746,0.322850902,0.435028691,0.078053523,0.00486769,0.041460606,0.172151572,0.120318874,0.068581202,5.936708861,12.63291139,13.81012658,3.658227848,7.233584906,6.4246875,6.595147059,6.556176471,7.238490566,7.233584906,1.935064935,7.434805195,1.774025974,7.602077922,3.051064557,2.786282278,0.123730977,3.716852372,19.5443038,1.050632911,2.860759494,4.518987342,7.240506329
401,1917,Lit,-0.315372342,164,1.746478873,5.76056338,4.61971831,-1.14084507,0.810560332,3.514084507,3.61971831,2.14084507,2.873239437,1.746478873,1.223004695,1.295774648,1.293812877,6.32629108,4.007746479,0.03364173,0.958547183,0.585984038,0.771447653,1.689201878,0.040815282,0.584902582,0.091139202,0.338020892,0.037228506,0.771724883,0.554734272,0.33856162,0.739750908,0.56745567,0.346899944,0.45669358,0.092455844,0.014406419,0.053431132,0.192558308,0.13841551,0.084476805,6.205882353,12.88235294,14.11764706,3.588235294,6.908043478,6.640526316,6.931964286,6.87877193,6.913478261,6.908043478,1.947014925,7.517761194,1.75,7.748507463,3.471330435,3.061024638,0.133785873,3.652582181,21.78461538,0.6,1.938461538,3.969230769,6.923076923
402,1917,Lit,-0.580117966,162,1.661971831,5.492957746,4.563380282,-0.929577465,0.842521797,3.610328639,3.38028169,2.112676056,2.901408451,1.661971831,1.206338028,1.361502347,1.23759222,6.09741784,3.95,0.037052995,0.951880751,0.562009155,0.75311608,1.80258216,0.035539707,0.61425939,0.069388615,0.341824002,0.036296351,0.78307007,0.547470041,0.315698885,0.749885169,0.528065113,0.311780049,0.417798476,0.100740905,0.01138,0.056060452,0.198245587,0.13860001,0.079923768,7.661538462,16.55384615,17.84615385,4.969230769,7.983809524,7.547272727,6.875438596,6.876842105,7.97,7.983809524,1.876923077,7.640307692,1.604615385,8.044153846,3.402925373,2.986643284,0.121669988,3.623672487,30.38461538,1.692307692,3.969230769,6.553846154,10.63076923
403,1863,Lit,-1.785964977,159,1.453125,5.140625,4.3125,-0.828125,0.857780371,3.79296875,3.1875,1.953125,2.859375,1.453125,1.127864583,1.4453125,1.214484127,6.727864583,4.271577381,0.037401168,0.949596466,0.505437649,0.724329613,1.815290179,0.0381425,0.584186198,0.041901302,0.31304375,0.037771834,0.766891332,0.518686682,0.273669475,0.730103565,0.523110011,0.278433528,0.399015883,0.08683085,0.006228024,0.046529437,0.179533522,0.121427434,0.064067545,7.523809524,15.55555556,16.53968254,4.349206349,7.588301887,7.308214286,7.338245614,7.319122807,7.588301887,7.588301887,1.741129032,7.839354839,1.558064516,8.163548387,3.4628375,3.086223438,0.136910986,3.716321043,26.82539683,1.063492063,2.682539683,4.825396825,8.793650794
404,1889,Lit,-1.05401339,163,1.375,5.325,4.3625,-0.9625,0.824667659,4.089583333,3.3125,2.0125,2.9875,1.375,1.118125,1.541666667,1.234136905,6.496875,4.181458333,0.039001191,0.938580104,0.522488021,0.729267604,1.866041667,0.036137563,0.599889583,0.034351875,0.317120729,0.037569377,0.769234844,0.523194167,0.278419948,0.727522691,0.502979178,0.279998046,0.390809925,0.092335097,0.005287446,0.048811271,0.183963293,0.125122415,0.066584413,7.6875,16.675,17.675,4.9125,7.2878125,7.140571429,6.828918919,6.825,7.2734375,7.2878125,1.74,7.711,1.571875,7.98525,2.8599525,2.62909875,0.086241964,3.472623982,30.1125,0.6625,2.6625,6.2125,10.8125
405,1920,Lit,0.247197446,147,1.180327869,4.491803279,3.590163934,-0.901639344,0.808606557,3.93442623,2.672131148,1.819672131,2.409836066,1.180327869,1.098360656,1.631147541,1.263934426,5.721311475,3.704918033,0.036270109,0.943454372,0.623995628,0.780315164,1.68852459,0.023304918,0.651131148,0.00697541,0.329053279,0.029787514,0.79729276,0.554684221,0.315485519,0.798621858,0.558744822,0.369550809,0.462128398,0.113808023,0.001219198,0.05751361,0.215198488,0.149715653,0.085153171,11.08196721,28.09836066,30.2295082,5.442622951,7.72625,7.731166667,7.43852459,7.437704918,7.72625,7.72625,1.486065574,8.259016393,1.281967213,8.544754098,3.751718033,3.33477541,0.204540846,4.086533702,47.44262295,4.262295082,8.590163934,13.18032787,19.62295082
406,1915,Lit,-0.861808583,161,1.927536232,6.202898551,5.057971014,-1.144927536,0.828350273,3.553623188,3.869565217,2.333333333,3.130434783,1.927536232,1.265942029,1.284299517,1.236657465,7.372705314,4.560990338,0.036465988,0.955071981,0.567203744,0.759176268,1.749275362,0.049369256,0.512608696,0.017979444,0.26529407,0.042917622,0.733840338,0.512235169,0.292591594,0.698255668,0.545981497,0.32425069,0.433994718,0.069527897,0.00243865,0.035983273,0.160894956,0.112307883,0.064150891,5.25,12.41176471,13.27941176,2.985294118,6.396470588,6.085,6.63875,6.591041667,6.539393939,6.396470588,2.066153846,7.501384615,1.928461538,7.771692308,3.106680303,2.816622727,0.111094402,3.607996445,17.91176471,0.411764706,1.338235294,2.352941176,4.426470588
407,1916,Lit,-1.759061403,171,2.012987013,6.428571429,5.376623377,-1.051948052,0.842820924,3.42965368,4,2.428571429,3.363636364,2.012987013,1.231385281,1.257575758,1.223855906,6.823376623,4.260551948,0.038736442,0.959345238,0.572709524,0.764917316,1.697727273,0.047941385,0.554413636,0.046669069,0.300541353,0.043338913,0.756879437,0.532729334,0.309689297,0.712758954,0.565076178,0.337338943,0.450553707,0.081252094,0.006839586,0.04404584,0.177648212,0.125037634,0.0726876,3.842105263,10.07894737,11.47368421,2,6.882325581,6.854716981,6.72559322,6.645079365,6.881794872,6.882325581,2.230714286,7.434142857,2.055,7.582428571,3.199065753,2.819726027,0.112428306,3.615442416,35.02631579,0.552631579,1.578947368,3.026315789,7.263157895
408,1917,Lit,-0.95232462,170,1.698630137,5.808219178,4.780821918,-1.02739726,0.818932475,3.735159817,3.534246575,2.273972603,3.082191781,1.698630137,1.144422701,1.447488584,1.25634377,6.876712329,4.326761252,0.040194831,0.962617645,0.531861057,0.746615476,1.776810176,0.043263813,0.547259132,0.018192009,0.282725571,0.041729322,0.754938389,0.514670523,0.275026533,0.711077879,0.541767296,0.299334765,0.42019991,0.079581507,0.002645452,0.041113479,0.174481175,0.118950525,0.063564065,7.194444444,13.94444444,15.40277778,4.013888889,7.263478261,7.26,6.970175439,7.060344828,7.346,7.263478261,2.007746479,7.723802817,1.887323944,8.02943662,3.189363889,2.857994444,0.144035439,3.733731848,25.77777778,1.138888889,3,5.444444444,10.06944444
409,1922,Lit,-0.371640688,160,1.594936709,5.481012658,4.46835443,-1.012658228,0.814903556,3.759493671,3.417721519,2.063291139,2.873417722,1.594936709,1.232278481,1.364978903,1.254289733,6.530590717,4.145042194,0.034256306,0.965006751,0.551071941,0.755615823,1.759493671,0.04424308,0.596633966,0.043875422,0.320254694,0.039249693,0.780820359,0.537935258,0.297473681,0.736274319,0.548457074,0.313199161,0.429450719,0.091359877,0.006718446,0.049039162,0.188374526,0.129777993,0.071766141,6.721518987,18.21518987,20.34177215,4.164556962,7.014615385,6.808955224,7.044769231,7.068208955,6.958823529,7.014615385,1.918493151,7.624246575,1.667123288,8.019726027,3.445934211,3.117834211,0.130536934,3.742331896,26.78481013,1.253164557,2.772151899,5.987341772,10.34177215
